id,name,catchment-area,easting,northing,latitude,longitude,river,location,station-level,measuring-authority-id,measuring-authority-station-id,hydrometric-area,opened,closed,station-type,bankfull-flow,structurefull-flow,sensitivity,nrfa-mean-flow,nrfa-peak-flow,feh-pooling,feh-qmed,feh-neither,nhmp,benchmark,live-data,eflag,historic-droughts,marius,outlook-analogues,outlook-esp,factors-affecting-runoff,gdf-start-date,gdf-end-date,gdf-mean-flow,gdf-min-flow,gdf-first-date-of-min,gdf-last-date-of-min,gdf-max-flow,gdf-first-date-of-max,gdf-last-date-of-max,gdf-q95-flow,gdf-q70-flow,gdf-q50-flow,gdf-q10-flow,gdf-q05-flow,gdf-base-flow-index,gdf-day-count,gdf-flow-count,gdf-percent-complete,peak-flow-start-date,peak-flow-end-date,qmed,minimum-altitude,10-percentile-altitude,50-percentile-altitude,90-percentile-altitude,maximum-altitude,saar-1941-1970,saar-1961-1990,lcm2000-woodland,lcm2000-arable-horticultural,lcm2000-grassland,lcm2000-mountain-heath-bog,lcm2000-urban,lcm2007-woodland,lcm2007-arable-horticultural,lcm2007-grassland,lcm2007-mountain-heath-bog,lcm2007-urban,high-perm-bedrock,moderate-perm-bedrock,low-perm-bedrock,mixed-perm-bedrock,high-perm-superficial,low-perm-superficial,mixed-perm-superficial,propwet,bfihost,farl,dpsbar,sprhost,rmed-1d,rmed-2d,rmed-1h,ldp,dplbar,altbar,aspbar,aspvar,ihdtm-height,ihdtm-catchment-area,mean-flood-plain-depth,mean-flood-plain-location,mean-flood-plain-extent,urbext-1990,urbconc-1990,urbloc-1990,urbext-2000,urbconc-2000,urbloc-2000,data-summary
4008,Newhall Burn at Newhall Bridge,41.0,270225,865187,57.65782,-4.17663,Newhall Burn,Newhall Bridge,8.0,SEPA-NW,234290,4,01/08/1996,,VA,9.1,,78.0,True,False,False,False,False,False,False,True,False,False,False,False,False,,27/08/1996,30/09/2021,0.482,0.013,04/09/2018,04/09/2018,15.77,15/01/2015,15/01/2015,0.036,0.126,0.262,1.06,1.626,0.45,9166.0,9166.0,100.0,,,,7.0,48.1,130.0,193.1,255.2,799.0,777.0,0.4062,0.2306,0.2286,0.124,0.0025,0.5154,0.1754,0.3003,0.0073,0.0016,,1.0,,,0.0083,,0.9368,0.42,0.684,0.996,52.4,27.77,31.3,41.7,8.4,15.35,7.29,127.0,352.0,0.52,7.3,36.43,0.408,1.008,0.0538,0.0002,,,0.0002,,,gdf;gmf;cmr;cdr;cdr-d
6006,Allt Bhlaraidh at Invermoriston,27.5,237700,816800,57.21311,-4.68904,Allt Bhlaraidh,Invermoriston,107.0,NSHE,,6,01/01/1951,1962,CB,,5.6,33.0,True,False,False,False,False,False,False,False,False,False,False,False,False,,01/10/1953,30/09/1962,0.88,0.003,17/07/1955,13/08/1955,16.68,12/12/1961,12/12/1961,0.057,0.244,0.453,2.172,3.256,0.29,3287.0,3287.0,100.0,,,,109.1,345.0,493.2,561.2,675.9,1577.0,1550.0,0.046,,0.0075,0.8822,,0.073,,0.2712,0.5859,,,,1.0,,,0.1541,,0.7,0.277,0.75,108.9,56.07,38.0,53.9,9.9,11.74,6.27,472.0,152.0,0.32,114.2,26.16,0.37,1.113,0.0327,0.0,,,0.0,,,gdf;gmf;cmr;cdr;cdr-d
6012,Enrick at White Bridge,56.2,239190,830158,57.3335,-4.67308,Enrick,White Bridge,144.1,SEPA-NW,355980,6,21/08/2007,,VA,,,,True,True,True,True,False,False,False,True,False,False,False,False,False,,22/08/2007,30/09/2021,1.725,0.002,21/07/2013,22/07/2013,34.79,07/03/2015,07/03/2015,0.093,0.362,0.73,4.481,6.818,0.25,5154.0,5154.0,100.0,01/08/2007,,35.177,142.2,213.2,338.3,519.5,674.8,1412.0,1331.0,0.1953,,0.0884,0.7038,,0.2141,0.0008,0.1377,0.6314,0.0002,,,1.0,,,0.0015,0.0892,0.7,0.392,0.915,106.9,46.36,35.3,51.1,9.2,18.24,8.19,352.0,344.0,0.22,142.3,56.2,0.643,0.84,0.0508,0.0001,,,0.0,,,gdf;gmf;cmr;cdr;cdr-d;pot-stage;pot-flow;gauging-stage;gauging-flow;amax-stage;amax-flow
6013,Mill Burn at Dirriebught House,9.22,267753,845238,57.47804,-4.20715,Mill Burn,Dirriebught House,11.2,SEPA-NW,234200,6,11/09/1998,,VA,8.62,,,True,False,False,False,False,False,False,True,False,False,False,False,False,,12/09/1998,30/09/2021,0.181,0.014,04/09/2003,01/10/2003,3.425,14/11/1998,14/11/1998,0.044,0.101,0.144,0.332,0.433,0.73,8420.0,8401.0,99.774,,,,11.2,32.2,149.9,237.7,291.7,790.0,781.0,0.2336,0.0797,0.3457,0.1319,0.1845,0.1974,0.0774,0.3092,0.1466,0.2694,,1.0,,,0.3679,,0.6321,0.43,0.714,0.992,47.1,27.76,31.8,41.4,8.8,8.81,4.36,138.0,333.0,0.7,11.2,9.22,0.605,0.849,0.0842,0.0653,0.801,0.369,0.092,0.865,0.403,gdf;gmf;cmr;cdr;cdr-d
7006,Lossie at Torwinny,20.0,313442,848903,57.52198,-3.44684,Lossie,Torwinny,198.5,SEPA-NW,234326,7,01/01/1986,25/05/2015,VA,,,15.2,True,False,False,False,False,False,False,False,False,False,False,False,False,N,17/03/1987,30/09/2015,0.372,0.073,21/08/1995,21/08/1995,9.754,15/11/2002,15/11/2002,0.109,0.164,0.225,0.722,1.104,0.47,10425.0,10402.0,99.779,,,,195.8,268.8,344.2,429.3,521.7,963.0,956.0,0.565,,0.1749,0.2576,,0.5612,,0.0318,0.4007,,,,1.0,,0.0271,,0.865,0.42,0.296,0.956,86.6,55.24,42.4,54.6,9.7,12.26,6.96,346.0,24.0,0.45,196.8,20.62,0.358,0.783,0.0372,0.0,,,0.0,,,gdf;gmf;cmr;cdr;cdr-d
7007,Black Burn at Monaughty,44.0,315474,858170,57.60558,-3.41616,Black Burn,Monaughty,49.0,SEPA-NW,234281,7,01/04/1990,26/09/2012,VA,,,11.0,True,False,False,False,False,False,False,False,False,False,False,False,False,P,01/04/1990,26/09/2012,0.477,0.06,31/07/1992,01/08/1992,12.92,15/11/2002,15/11/2002,0.101,0.22,0.321,0.873,1.32,0.58,8215.0,7112.0,86.573,,,,48.8,82.3,165.2,267.3,370.4,875.0,807.0,0.4813,0.1221,0.2763,0.1131,0.0042,0.4847,0.0644,0.3792,0.0702,0.0008,0.0288,,0.9712,,0.4034,,0.4881,0.42,0.654,0.983,106.7,27.3,35.9,46.6,9.0,16.31,8.42,169.0,4.0,0.4,48.8,43.18,0.418,0.838,0.0431,0.0001,,,0.0005,,,gdf;gmf;cmr;cdr;cdr-d
7009,Mosset Burn at Wardend Bridge,28.3,303930,855845,57.58239,-3.60834,Mosset Burn,Wardend Bridge,45.0,SEPA-NW,234331,7,01/01/1998,,VA,24.3,,85.0,True,False,False,False,False,False,False,True,False,False,False,False,False,N,26/10/1998,30/09/2021,0.32,0.006,23/08/2003,24/08/2003,12.81,15/11/2002,15/11/2002,0.053,0.122,0.194,0.641,0.947,0.49,8376.0,8376.0,100.0,,,,42.8,90.4,190.2,294.5,369.1,850.0,803.0,0.5013,0.0545,0.2158,0.2236,,0.514,0.0209,0.2985,0.166,0.0005,0.1914,,0.8086,,0.4937,0.0441,0.4476,0.42,0.606,0.998,61.3,33.74,37.7,48.8,9.2,13.4,8.03,192.0,332.0,0.54,43.3,28.3,0.494,0.731,0.0601,0.0,,,0.0,,,gdf;gmf;cmr;cdr;cdr-d
7010,Muckle Burn at Brodie,80.68,297947,857111,57.59245,-3.70888,Muckle Burn,Brodie,22.3,SEPA-NW,234173,7,01/01/2005,,VA,,,,True,True,True,True,False,False,False,True,False,False,False,False,False,,01/01/2005,30/09/2021,1.031,0.146,17/07/2006,17/07/2006,20.85,04/09/2009,04/09/2009,0.275,0.46,0.655,2.021,2.823,0.55,6117.0,6117.0,100.0,01/11/2005,,18.093,22.5,96.7,168.4,308.8,413.5,869.0,810.0,0.4361,0.0805,0.222,0.2573,,0.4226,0.0782,0.2595,0.2336,0.0021,0.0606,0.1901,0.7493,,0.5291,0.0973,0.3255,0.42,0.64,0.984,62.6,34.12,37.5,49.6,9.4,29.63,18.0,185.0,11.0,0.42,22.6,80.67,0.641,0.9,0.0651,0.0002,,,0.0,,,gdf;gmf;cmr;cdr;cdr-d;pot-stage;pot-flow;gauging-stage;gauging-flow;amax-stage;amax-flow
7011,Black Burn at Pluscarden Abbey,36.37,314443,857510,57.59946,-3.43317,Black Burn,Pluscarden Abbey,53.9,SEPA-NW,486057,7,07/06/2012,,VA,,,,True,True,True,True,False,False,False,True,False,False,False,False,False,,07/06/2012,30/09/2021,0.365,0.055,25/07/2014,25/07/2014,12.03,11/08/2014,11/08/2014,0.102,0.184,0.261,0.666,0.924,0.65,3403.0,3402.0,99.971,01/06/2012,,5.205,54.8,86.2,164.6,262.9,370.4,873.0,808.0,0.4811,0.1105,0.2748,0.1261,0.005,0.4752,0.0643,0.3787,0.0806,0.0003,0.0111,,0.9889,,0.4366,,0.4384,0.42,0.661,0.98,111.5,27.08,35.9,46.8,9.0,14.81,7.94,168.0,8.0,0.33,54.9,36.38,0.4,0.867,0.0413,0.0001,,,0.0006,,,gdf;gmf;cmr;cdr;cdr-d;pot-stage;pot-flow;gauging-stage;gauging-flow;amax-stage;amax-flow
7012,Lossie at Ballachraggan,31.6,313174,849606,57.52824,-3.45157,Lossie,Ballachraggan,,SEPA-NW,516803,7,27/05/2015,,VA,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,,27/05/2015,30/09/2021,0.508,0.116,26/07/2018,01/09/2018,19.2,06/06/2017,06/06/2017,0.14,0.215,0.285,1.025,1.501,0.45,2319.0,2319.0,100.0,,,,183.0,245.0,318.6,407.2,521.7,965.0,941.0,0.6336,0.0007,0.1509,0.2131,,0.6154,0.001,0.0579,0.3209,0.0007,,,1.0,,0.0393,,0.8902,0.42,0.363,0.964,77.6,50.67,41.5,53.5,9.6,13.37,6.56,322.0,2.0,0.41,183.0,31.6,0.322,0.859,0.0328,0.0,,,0.0,,,gdf;gmf
